sample_id,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_averaged_cosine_similarity,metric_averaged_distinct_ngrams,metric_bert_score,metric_s_d,metric_s_d_norm,metric_s_s_d,metric_s_s_d_norm,metric_sent_bert,metric_t_s_d,metric_t_s_d_norm
test.sa-sb.sa-b::00256,Jane wanted to watch a big new action movie. She had been waiting a long time for it to come out. When tickets became available she was too busy. By the time she had a chance to buy some it was sold out.,1.0,content_diversity,Jane cried all the way home.,Jane found a ticket scalper to sell her tickets.,A friend of Jane's offered her one of her tickets.,Jane decided to go to another town to see it.,Jane decided to just wait and stream it at home when it becomes available.,-0.041,0.920,-0.250,2.449,0.490,4.770,0.954,-0.333,15.230,0.448
test.sa-sb.sa-b::00256,Jane wanted to watch a big new action movie. She had been waiting a long time for it to come out. When tickets became available she was too busy. By the time she had a chance to buy some it was sold out.,0.0,content_diversity,Jane walked home shedding tears the whole way.,Jane drove home in gut wrenching despair.,As Jane walked home deep sadness streamed down her cheeks.,Jane sobbed uncontrolably with each step she took home.,Jane caught a taxi home and weeped all the way.,-0.061,0.934,-0.439,2.052,0.410,4.960,0.992,-0.715,20.584,0.556
test.sa-sb.sa-b::00259,The teacher drew a shape. She asked for it's name. The boy said square. The teacher corrected the boy.,1.0,content_diversity,it was a circle,it was a triangle,the boy disagree,the boy thank his teacher,the boy ignore his teacher,-0.099,0.834,-0.279,1.472,0.294,4.283,0.857,-0.204,8.233,0.823
test.sa-sb.sa-b::00260,Jill was nervous for her first day of school. She woke up an hour early. She did her hair special. She wore her brand new outfit.,0.0,content_diversity,She was most beautiful girl,She was prettiest in whole school,Jill was so pretty,Jill was the most good looking girl,Jill was extremely beautiful,-0.088,0.895,-0.481,1.856,0.371,4.435,0.887,-0.712,10.294,0.735
test.sa-sb.sa-b::00261,John got a taxi to take him to a surf town in southern Nicaragua. The driver started driving toward John's destination. A dispute arose when the driver demanded a high fare for the trip. John and the driver started negotiating over the fare.,0.0,content_diversity,they could not agree,they were unable to agree,they could not settle on a price,they keep disagreeing with each other,they did not end up on mutual agreement,-0.071,0.914,-0.416,1.965,0.393,4.597,0.919,-0.669,8.401,0.700
test.sa-sb.sa-b::00262,It was a really hot day and Jamie wanted something sweet. Seeing a cute ice cream shop nearby she decided to go in. While waiting she noticed two children who looked very sad. She soon realized they had no money.,1.0,content_diversity,"Tough, thought Jamie and walked passed them holding his ice cream.",Jamie felt sorry for them so asked them what they wanted and got it for them.,Jamie told the shopkeepr to give them some free ice cream but he refused.,Jamie told the kids if they would wash his bike he would give them some money and they agreed.,Jamie gave them his ice cream to share and they were very grateful.,-0.085,0.882,-0.276,2.165,0.433,4.987,0.997,-0.472,23.118,0.525
test.sa-sb.sa-b::00264,Will was buying groceries. He got a cart full of things. After waiting in line he was finally checked out. When it came time to pay Will realized he forgot his wallet.,1.0,content_diversity,he had to cancel the entire cart,he asked if he can paid later,they said he could not pay later,they said he could pay later,he decides to not buy anymore,-0.096,0.864,-0.359,1.790,0.358,4.607,0.921,-0.444,9.685,0.570
test.sa-sb.sa-b::00265,David gets terrible news one day. His wife tells him she has cancer. David breaks down and cries. He supports her day and night while she fights cancer.,0.0,content_diversity,His wife passed away,He lost his wife,His wife lived for a few more months,David's wife was found dead soon,She didn't live for too long,-0.034,0.956,-0.348,1.964,0.393,4.370,0.874,-0.497,11.450,0.674
test.sa-sb.sa-b::00266,I had a pet rabbit when I was a kid. We kept him in a big cage outside. I would go feed him carrots and lettuce. One day he got out of his cage.,1.0,content_diversity,"Next doors dog got to him and ripped him to bits, I was so sad.",We had the whole street out looking for him but we never found him.,Luckily he was just at the end of the garden and we easily caught him.,We never did find him but I always thought it odd that th enext day we had rabbit pie.,"We found him two doors down canoodling with their girl rabbit, he had found a girlfriend!",-0.047,0.934,-0.231,2.447,0.489,4.996,0.999,-0.158,24.348,0.594
test.sa-sb.sa-b::00268,Karl woke up late for work one day. He didn't know why his alarm didn't go off. Later that day his alarm went off. Karl realized he put PM instead of AM>.,1.0,content_diversity,He missed a job interview,He was late for work and got fired,He missed a bus,He had to hurry up,He had to skip breakfast,-0.092,0.881,-0.308,1.461,0.292,4.986,0.997,-0.343,9.411,0.784
test.sa-sb.sa-b::00268,Karl woke up late for work one day. He didn't know why his alarm didn't go off. Later that day his alarm went off. Karl realized he put PM instead of AM>.,0.0,content_diversity,He didn't have time for breakfast,He had to miss the breakfast,There was no time to have breakfast,He couldn't eat his breakfast in peace,He had no time to had to miss the breakfast,-0.124,0.793,-0.402,1.796,0.359,4.718,0.944,-0.663,8.129,0.581
test.sa-sb.sa-b::00269,"Every time I see fruit salad, it reminds me of camping. My cousin Louise always made fruit salad and pimento cheese. Everyone ate sandwiches and salad for lunch while we camped. We all loved her fruit salad and cheese.",1.0,content_diversity,Until we all got sick from it,We could eat it everyday,I still like it,I haven't seen Louise in ages,I wish we could go back in time,-0.031,0.953,-0.197,2.179,0.436,4.998,1.000,-0.182,13.000,0.812
test.sa-sb.sa-b::00271,Sue went to a local farm to pick berries. When she got there they handed her a basket to fill. She went outside and headed over to the berry bushes. She happily picked a full basket of them.,0.0,content_diversity,the berries were tasty,the berries were juicy,the berries were fresh,the berries was full of flavor,the berries burst so much juices,-0.206,0.825,-0.505,1.475,0.295,4.380,0.876,-0.723,8.155,0.627
test.sa-sb.sa-b::00272,Every month I start craving chocolate and salt. The cravings get so bad I can't resist them. I end up eating chips and candy bars. Eating those things makes my stomach start hurting.,1.0,content_diversity,I am going to see a doctor to see if they can help.,I think it may be a sign of something pyschological so I am going to get help.,I have made it my new year resolution to give them up.,"I always end up throwing up, it is awful.",The crazy thing is I don't even really like chips or candy!,-0.049,0.921,-0.176,2.354,0.471,4.966,0.993,-0.144,16.368,0.455
test.sa-sb.sa-b::00272,Every month I start craving chocolate and salt. The cravings get so bad I can't resist them. I end up eating chips and candy bars. Eating those things makes my stomach start hurting.,0.0,content_diversity,"In the end I always throw up, it's awful.","I am always sick after, I hate it.","When I have finished eating I always throw up, it's horrible.","I always end up puking, it's awful.","After I have eaten I am always sick, it's awful.",-0.146,0.812,-0.625,2.855,0.571,4.719,0.944,-0.805,13.277,0.390
test.sa-sb.sa-b::00274,Gwen's old couch was falling apart. She saved up money to get a new one. She looked for the best price around. Finally she found one she liked for the right price.,1.0,content_diversity,When it arrived it was perfect for her living room and she was very happy.,When she got it home she realised it didn't fit with the rest of the room and she would have to redecorate.,She ordered it and was told it would take three months to arrive and she was very disappointed.,She was even happier when the salesman said today was a special 25% off day.,Jane bought it and could not stop thinking about how great it was going to look on the way home.,-0.078,0.902,-0.284,2.730,0.546,4.989,0.998,-0.298,25.215,0.548
test.sa-sb.sa-b::00276,Ron is having a cook out with the family. Ron is wearing his favorite shirt to impress everyone. While preparing his hot dog Ron spills some mustard on his shirt. Ron gets upset and rushes inside to clean his shirt.,1.0,content_diversity,His wife brings him a clean shirt and reassures him she can get the stain out.,Ron gives up on cleaning his shirt and throws it away.,"The neighbor, who overheard what happened, shows up to help Ron with her secret stain remover solution.",Ron throws away all the mustard bottles so it won't happen again.,Ron decides he is done for the day and goes to bed.,-0.031,0.953,-0.302,2.067,0.413,4.984,0.997,-0.301,25.843,0.601
test.sa-sb.sa-b::00276,Ron is having a cook out with the family. Ron is wearing his favorite shirt to impress everyone. While preparing his hot dog Ron spills some mustard on his shirt. Ron gets upset and rushes inside to clean his shirt.,0.0,content_diversity,His lady presents him with a unstained garment and tells Ron not to worry she will get his shirt clean again.,Ron's woman hands him a freshly laundered item and informs Ron the stain will be gone.,His spouse points out an alternative piece of clothing and promises to remove the stain.,The light of his life comes to the rescue with a crisp ironed button up and a bottle of Shout.,The old ball and chain rolls in carrying another top and a bucket to soak the stained shirt in.,-0.050,0.934,-0.254,2.424,0.485,4.863,0.973,-0.425,31.024,0.585
test.sa-sb.sa-b::00277,Larry was always late for work. He had been warned several times. One day there was a traffic accident and he couldn't make it in time. He called in but his boss told him he was fired.,1.0,content_diversity,Larry was incredibly distraught.,Larry vowed to change his ways from than on.,He begged his boss to reconsider and promised he would never be late again.,He took up the issue with the company saying he was unjustly fired.,"Saddened, he filed for unemployment insurance.",-0.017,0.965,-0.283,2.450,0.490,4.989,0.998,-0.289,16.618,0.554
